batch,framework,n,lens,rank,pattern,score,score_name,p_value,fisher_tested,higher_in_positives
2026-05-27T090031,AG2,3,SBFL,1,TERMINATE :: PLAN :: ACT,0.7316071539276616,ochiai,,False,True
2026-05-27T090031,AG2,3,SBFL,2,PLAN :: ACT :: PROVIDE,0.6571139270099989,ochiai,,False,True
2026-05-27T090031,AG2,3,SBFL,3,PROVIDE :: PLAN :: TERMINATE,0.6345181701955809,ochiai,0.000878337785687,True,True
2026-05-27T090031,AG2,3,SBFL,4,TERMINATE :: PROVIDE :: PLAN,0.564199558493354,ochiai,,False,True
2026-05-27T090031,AG2,3,SBFL,5,ACT :: PROVIDE :: TERMINATE,0.5369863404226022,ochiai,1.2723377635817801e-07,True,True
2026-05-27T090031,AG2,3,Markov,1,TERMINATE :: PLAN :: ACT,0.0620448481551294,surprise_delta,,False,
2026-05-27T090031,AG2,3,Markov,2,PLAN :: ACT :: PROVIDE,0.024025225727664,surprise_delta,,False,
2026-05-27T090031,AG2,3,Markov,3,PROVIDE :: PLAN :: TERMINATE,0.1529843784318157,surprise_delta,,False,
2026-05-27T090031,AG2,3,Markov,4,TERMINATE :: PROVIDE :: PLAN,0.1222934377397159,surprise_delta,,False,
2026-05-27T090031,AG2,3,Markov,5,PROVIDE :: PLAN :: ACT,0.0001219680839853,surprise_delta,,False,
2026-05-27T090031,MetaGPT,3,SBFL,1,PLAN :: VERIFY_FAIL :: PROVIDE,0.8456454807244981,ochiai,5.547454371795701e-25,True,True
2026-05-27T090031,MetaGPT,3,SBFL,2,REQUEST :: PLAN :: VERIFY_FAIL,0.8456454807244981,ochiai,5.547454371795701e-25,True,True
2026-05-27T090031,MetaGPT,3,SBFL,3,ACT :: VERIFY_FAIL :: PROVIDE,0.3143838566185064,ochiai,,False,True
2026-05-27T090031,MetaGPT,3,SBFL,4,PLAN :: ACT :: VERIFY_FAIL,0.3143838566185064,ochiai,,False,True
2026-05-27T090031,MetaGPT,3,SBFL,5,REQUEST :: PLAN :: ACT,0.3112864031823452,ochiai,,False,True
2026-05-27T090031,MetaGPT,3,Markov,1,PLAN :: VERIFY_FAIL :: PROVIDE,0.873791539423375,surprise_delta,,False,
2026-05-27T090031,MetaGPT,3,Markov,2,REQUEST :: PLAN :: VERIFY_FAIL,0.873791539423375,surprise_delta,,False,
2026-05-27T090031,MetaGPT,3,Markov,3,REQUEST :: PLAN :: PROVIDE,-0.0317138554037504,surprise_delta,,False,
2026-05-27T090031,MetaGPT,3,Markov,4,PLAN :: PROVIDE :: VERIFY_FAIL,-0.0604530695052171,surprise_delta,,False,
2026-05-27T090031,MetaGPT,3,Markov,5,REQUEST :: PLAN :: ACT,-0.0554296219635765,surprise_delta,,False,
