pattern,fail_support,pass_support,mean_fail_surprise,mean_pass_surprise,surprise_delta,support_weighted_delta,rank
INFORM :: PLAN,358,67,1.022231789992196,0.9508225609530389,0.07140922903915714,0.43234284598143435,1
REQUEST :: PLAN,355,72,0.9281656039804735,0.8274801179202333,0.10068548606024019,0.610065764046029,2
PLAN :: TERMINATE,334,75,0.8778855218052984,0.8579237643781533,0.01996175742714512,0.12009306986548092,3
INFORM :: TERMINATE,279,53,1.0146121913702117,0.9534862638374088,0.06112592753280299,0.35502809694273857,4
ACT :: INFORM,258,51,0.9161427660033719,0.8488023736463346,0.06734039235703726,0.38630302929675947,5
TERMINATE :: INFORM,185,31,0.9482210156715453,0.8383892538448677,0.10983176182667753,0.5908836047860285,6
VERIFY_PASS :: PLAN,159,26,1.1290350471995323,1.0302203384275037,0.09881470877202858,0.5163806356793671,7
PLAN :: INFORM,97,20,1.2117192017819527,1.1690848666492155,0.04263433513273718,0.2033949670920656,8
VERIFY_FAIL :: TERMINATE,87,0,1.6059119488334124,,1.6059119488334124,7.190208689322279,9
ACT :: VERIFY_PASS,76,19,1.2490808829390407,1.10628452545542,0.14279635748362063,0.6517722960285585,10
PLAN :: VERIFY_FAIL,70,0,1.6098765792713126,,1.6098765792713126,6.862388498979932,11
ACT :: PLAN,63,12,1.426315719733043,1.1760135974718893,0.25030212226115367,1.0839917460208037,12
ACT :: TERMINATE,54,8,1.1085047594413828,0.9771660346663921,0.13133872477499076,0.5441540315352441,13
TERMINATE :: VERIFY_PASS,51,7,1.1165986827988847,0.9080985860249974,0.20850009677388737,0.8501669516534919,14
REQUEST :: ACT,33,4,1.2772442127210242,1.2829469100187951,-0.005702697297770953,-0.02074405276348068,15
INFORM :: VERIFY_PASS,32,7,0.9726395618520305,1.025334918524878,-0.052695356672847415,-0.19438681855767254,16
ERROR :: PLAN,26,5,1.1447375797349564,1.0590410398382573,0.08569653989669912,0.2970015750656993,17
REQUEST :: TERMINATE,20,3,1.3510586864234697,1.337344972082315,0.013713714341154759,0.043582922390204434,18
VERIFY_FAIL :: PLAN,16,0,2.3860348225833694,,2.3860348225833694,6.760145698726008,19
TERMINATE :: ERROR,14,3,1.1394839766594358,0.9778304703780908,0.161653506281345,0.46723872912048986,20
TERMINATE :: PLAN,14,9,1.1940585277412257,1.1341880244468472,0.059870503294378485,0.19027168231955885,21
REQUEST :: INFORM,13,2,1.2299185308076837,1.4203051531086648,-0.19038662230098113,-0.5278638018570251,22
TERMINATE :: ACT,12,5,1.4091650435936067,1.2586777306198909,0.15048731297371587,0.4349642793409094,23
INFORM :: ERROR,12,1,1.1236117093487266,1.3995723679655632,-0.2759606586168366,-0.7282759988082168,24
INFORM :: VERIFY_FAIL,9,0,1.2370322800563232,,1.2370322800563232,2.8483720876101253,25
VERIFY_PASS :: VERIFY_FAIL,5,0,2.164365610550577,,2.164365610550577,3.878022577575557,26
REQUEST :: VERIFY_PASS,5,1,1.2078232557990995,1.225419793313022,-0.017596537513922428,-0.0342412809365742,27
VERIFY_PASS :: TERMINATE,4,7,1.1492092099876,1.1096731023410011,0.03953610764659876,0.09824353679776747,28
INFORM :: ACT,3,2,1.7570060969600336,1.4000607645424004,0.35694533241763327,0.6395601793560503,29
