pattern,label,e_f,e_p,n_f,n_p,ochiai,tarantula,dstar,jaccard,op2,rrf_score,rank_rrf,rank,higher_in_positives,fail_pass_rate_delta,fisher_tested,p_value,q_value,reject_bh,evidence_level
INFORM :: PLAN,global,358.0,67.0,139.0,33.0,0.7789514090547388,0.5180972228252219,622.1553398058253,0.6347517730496454,357.33663366336634,0.0790872840053168,1,1,True,0.05032193158953724,False,,,False,untested
REQUEST :: PLAN,global,355.0,72.0,142.0,28.0,0.7706128048605572,0.4980079681274901,588.9018691588785,0.6239015817223199,354.28712871287127,0.07701612903225806,2,2,False,-0.005714285714285672,False,,,False,untested
PLAN :: TERMINATE,global,334.0,75.0,163.0,25.0,0.740809628652913,0.4725857799787761,468.7226890756302,0.583916083916084,333.25742574257424,0.07539682539682539,4,3,False,-0.07796780684104632,False,,,False,untested
INFORM :: TERMINATE,global,279.0,53.0,218.0,47.0,0.6868421943552012,0.5143710477314208,287.2361623616236,0.5072727272727273,278.4752475247525,0.07583333333333334,3,4,True,0.031368209255533186,False,,,False,untested
ACT :: INFORM,global,258.0,51.0,239.0,49.0,0.6583582344327311,0.5044284122235908,229.53103448275863,0.4708029197080292,257.4950495049505,0.07435897435897436,5,5,True,0.009114688128772586,False,,,False,untested
TERMINATE :: INFORM,global,185.0,31.0,312.0,69.0,0.5646335220597068,0.545610051021913,99.78134110787173,0.3503787878787879,184.69306930693068,0.07430469074304691,6,6,True,0.062233400402414485,False,,,False,untested
VERIFY_PASS :: PLAN,global,159.0,26.0,338.0,74.0,0.5243642390929661,0.551661924918465,69.4532967032967,0.30401529636711283,158.74257425742573,0.07359038142620232,8,7,True,0.05991951710261567,False,,,False,untested
VERIFY_FAIL :: TERMINATE,global,87.0,0.0,410.0,100.0,0.4183901311107435,1.0,18.460975609756098,0.1750503018108652,87.0,0.07405715909552227,7,8,True,0.1750503018108652,True,2.8802961840668594e-08,5.760592368133719e-08,True,bh_significant
PLAN :: INFORM,global,97.0,20.0,400.0,80.0,0.4022542200935939,0.4938900203665988,22.402380952380952,0.18762088974854932,96.8019801980198,0.07095607969435762,10,9,False,-0.0048289738430583595,False,,,False,untested
PLAN :: VERIFY_FAIL,global,70.0,0.0,427.0,100.0,0.37529331252040077,1.0,11.475409836065573,0.14084507042253522,70.0,0.07241225128549073,9,10,True,0.14084507042253522,True,1.0960228566455427e-06,1.0960228566455427e-06,True,bh_significant
ACT :: VERIFY_PASS,global,76.0,19.0,421.0,81.0,0.34976278250286275,0.4459308807134894,13.127272727272727,0.14728682170542637,75.81188118811882,0.06870635578174931,14,11,False,-0.03708249496981891,False,,,False,untested
ACT :: PLAN,global,63.0,12.0,434.0,88.0,0.3263110069235125,0.5136986301369864,8.899103139013453,0.1237721021611002,62.881188118811885,0.06871345029239766,13,12,True,0.006760563380281692,False,,,False,untested
ACT :: TERMINATE,global,54.0,8.0,443.0,92.0,0.3076236499181525,0.575938566552901,6.465631929046563,0.10693069306930693,53.92079207920792,0.06928727417113362,11,13,True,0.02865191146881288,False,,,False,untested
TERMINATE :: VERIFY_PASS,global,51.0,7.0,446.0,93.0,0.30038482222132895,0.5944748805222054,5.741721854304636,0.10119047619047619,50.93069306930693,0.06875993640699524,12,14,True,0.03261569416498994,False,,,False,untested
REQUEST :: ACT,global,33.0,4.0,464.0,96.0,0.24335197961132216,0.6240544629349472,2.326923076923077,0.0658682634730539,32.960396039603964,0.06825870646766169,15,15,True,0.026398390342052318,False,,,False,untested
INFORM :: VERIFY_PASS,global,32.0,7.0,465.0,93.0,0.22984733913768188,0.4791136397664321,2.169491525423729,0.06349206349206349,31.93069306930693,0.06467977171845275,19,16,False,-0.005613682092555333,False,,,False,untested
ERROR :: PLAN,global,26.0,5.0,471.0,95.0,0.2094663700619458,0.5113077679449362,1.4201680672268908,0.05179282868525897,25.95049504950495,0.06493506493506494,18,17,True,0.0023138832997987926,False,,,False,untested
REQUEST :: TERMINATE,global,20.0,3.0,477.0,97.0,0.18706299495125425,0.5729017473503294,0.8333333333333334,0.04,19.97029702970297,0.06556776556776556,17,18,True,0.010241448692152919,False,,,False,untested
VERIFY_FAIL :: PLAN,global,16.0,0.0,481.0,100.0,0.17942452160650263,1.0,0.5322245322245323,0.03219315895372234,16.0,0.06650592726542093,16,19,True,0.03219315895372234,False,,,False,untested
TERMINATE :: ERROR,global,14.0,3.0,483.0,97.0,0.15230893473137352,0.48426150121065376,0.40329218106995884,0.028,13.970297029702971,0.06219512195121951,24,20,False,-0.001830985915492956,False,,,False,untested
REQUEST :: INFORM,global,13.0,2.0,484.0,98.0,0.15056343988469714,0.5666957279860506,0.3477366255144033,0.026052104208416832,12.98019801980198,0.06301555190825774,22,21,True,0.006156941649899397,False,,,False,untested
INFORM :: ERROR,global,12.0,1.0,485.0,99.0,0.14929022601411732,0.7071302298173247,0.2962962962962963,0.024096385542168676,11.990099009900991,0.06349121541598768,20,22,True,0.014144869215291749,False,,,False,untested
INFORM :: VERIFY_FAIL,global,9.0,0.0,488.0,100.0,0.13456839120487699,1.0,0.16598360655737704,0.018108651911468814,9.0,0.06321532629115903,21,23,True,0.018108651911468814,False,,,False,untested
