pattern,label,e_f,e_p,n_f,n_p,ochiai,tarantula,dstar,jaccard,op2,rrf_score,rank_rrf,rank,higher_in_positives,fail_pass_rate_delta,fisher_tested,p_value,q_value,reject_bh,reject_bh_exploratory,evidence_level
ACT :: TERMINATE,global,66.0,25.0,27.0,12.0,0.7174336870793402,0.512271869100063,83.76923076923077,0.559322033898305,65.34210526315789,0.0800665241149917,1,1,True,0.03400174367916309,False,,,False,False,untested
ERROR :: ACT,global,15.0,2.0,78.0,35.0,0.37724659112089265,0.7489878542510121,2.8125,0.15789473684210525,14.947368421052632,0.0786763210348615,2,2,True,0.1072362685265911,True,0.08325262057519556,0.08325262057519556,False,True,exploratory_bh
INFORM :: TERMINATE,global,18.0,7.0,75.0,30.0,0.3733026101029531,0.5056947608200455,3.951219512195122,0.18,17.81578947368421,0.0785458269329237,3,3,True,0.0043591979075849885,False,,,False,False,untested
ERROR :: INFORM,global,16.0,4.0,77.0,33.0,0.37099111660813466,0.6141078838174274,3.1604938271604937,0.16494845360824742,15.894736842105264,0.0780151460297003,4,4,True,0.06393490264458007,False,,,False,False,untested
PLAN :: ERROR,global,16.0,4.0,77.0,33.0,0.37099111660813466,0.6141078838174274,3.1604938271604937,0.16494845360824742,15.894736842105264,0.0780151460297003,4,5,True,0.06393490264458007,False,,,False,False,untested
ACT :: ERROR,global,15.0,4.0,78.0,33.0,0.3568395510523549,0.598705501618123,2.7439024390243905,0.15463917525773196,14.894736842105264,0.07496519075466443,6,6,True,0.05318221447253704,False,,,False,False,untested
REQUEST :: INFORM,global,15.0,4.0,78.0,33.0,0.3568395510523549,0.598705501618123,2.7439024390243905,0.15463917525773196,14.894736842105264,0.07496519075466443,6,7,True,0.05318221447253704,False,,,False,False,untested
INFORM :: ERROR,global,7.0,1.0,86.0,36.0,0.2566324512873683,0.7357954545454546,0.5632183908045977,0.07446808510638298,6.973684210526316,0.07369205746814855,8,8,True,0.04824179017727405,False,,,False,False,untested
VERIFY_FAIL :: INFORM,global,8.0,4.0,85.0,33.0,0.23947373603569985,0.4431137724550898,0.7191011235955056,0.08247422680412371,7.894736842105263,0.07269490772426546,9,9,False,-0.02208660273176402,False,,,False,False,untested
VERIFY_FAIL :: ACT,global,6.0,1.0,87.0,36.0,0.23515854050088617,0.7047619047619047,0.4090909090909091,0.06382978723404255,5.973684210526316,0.07182539682539682,10,10,True,0.037489102005231034,False,,,False,False,untested
REQUEST :: TERMINATE,global,8.0,5.0,85.0,32.0,0.2300789234172203,0.38896189224704336,0.7111111111111111,0.08163265306122448,7.868421052631579,0.07126139804880505,11,11,False,-0.04911362975879105,False,,,False,False,untested
PLAN :: VERIFY_FAIL,global,7.0,4.0,86.0,33.0,0.21885688981825285,0.41045958795562604,0.5444444444444444,0.07216494845360824,6.894736842105263,0.07003129890453834,13,12,False,-0.032839290903807036,False,,,False,False,untested
INFORM :: VERIFY_FAIL,global,5.0,1.0,88.0,36.0,0.21166687833365086,0.6654676258992805,0.2808988764044944,0.05319148936170213,4.973684210526316,0.0704195205479452,12,13,True,0.026736413833188026,False,,,False,False,untested
ERROR :: PLAN,global,3.0,3.0,90.0,34.0,0.1270001270001905,0.2846153846153846,0.0967741935483871,0.03125,2.9210526315789473,0.06756756756756757,14,14,False,-0.048823016564952054,False,,,False,False,untested
