pattern,fail_support,pass_support,mean_fail_surprise,mean_pass_surprise,surprise_delta,support_weighted_delta,rank
TERMINATE :: ACT,10,7,1.054915795388958,0.9801360382583775,0.0747797571305806,0.2161412980725645,1
ERROR :: PLAN,7,5,1.2531002093691914,1.227988013456902,0.025112195912289526,0.06441151076967525,2
PLAN :: TERMINATE,6,7,1.0926318817889407,0.9829766526954317,0.109655229093509,0.28938643606986525,3
INFORM :: PLAN,6,13,1.0273762318303714,0.9986702559495529,0.02870597588081847,0.08599541839003033,4
ACT :: VERIFY_FAIL,5,1,1.4313739819392666,0.8660942228546818,0.5652797590845847,1.0999836202582358,5
REQUEST :: PLAN,5,6,1.0122713319921322,1.0135886864884947,-0.0013173544963624995,-0.003273502948139297,6
ACT :: INFORM,5,12,1.0469423416035317,1.152255364211775,-0.10531302260824327,-0.3043937862855466,7
ERROR :: ACT,4,4,1.4074433366969823,1.292845428299803,0.11459790839717932,0.25179734084160715,8
REQUEST :: ERROR,4,3,1.0871289295537503,0.9812816117031676,0.10584731785058266,0.2201033098138912,9
ACT :: ERROR,4,4,1.4074433366969823,1.3139910840285358,0.09345225266844648,0.20533558637054491,10
INFORM :: ACT,3,7,0.9625579906343441,1.0486947151847088,-0.0861367245503647,-0.20654684461365486,11
