pattern,fail_support,pass_support,mean_fail_surprise,mean_pass_surprise,surprise_delta,support_weighted_delta,rank
INFORM :: ACT :: TERMINATE,66,25,0.7113188329590849,0.6052917604672434,0.10602707249184151,0.4794320052515595,1
VERIFY_PASS :: PLAN :: ACT,57,28,0.6262149435567426,0.5951154785684288,0.03109946498831373,0.13852781778562587,2
ACT :: PLAN :: INFORM,30,7,0.8940264352584707,0.8429544317690324,0.0510720034894383,0.18577881304267843,3
VERIFY_PASS :: PLAN :: INFORM,30,9,0.8474045587384645,0.8286840861665061,0.018720472571958413,0.06905756664200087,4
ACT :: INFORM :: TERMINATE,17,7,0.7477767294070639,0.7458758591781479,0.0019008702289159407,0.006118665226069204,5
ACT :: PLAN :: ERROR,16,4,0.9834439047229968,0.7452749071033521,0.23816899761964472,0.7251108572231049,6
ERROR :: INFORM :: ACT,16,4,0.9834439047229968,0.7452749071033521,0.23816899761964472,0.7251108572231049,7
PLAN :: ERROR :: INFORM,16,4,0.9834439047229968,0.7452749071033521,0.23816899761964472,0.7251108572231049,8
REQUEST :: ACT :: INFORM,15,4,0.8328517180910228,0.7820882114154647,0.05076350667555807,0.15207387526674276,9
INFORM :: ACT :: ERROR,14,4,0.9180390213598976,0.7452749071033521,0.17276411425654548,0.508693392218137,10
ERROR :: ACT :: PLAN,13,2,1.002701775774962,0.8092531530292967,0.1934486227456652,0.5363534697574494,11
PLAN :: ACT :: PLAN,12,16,0.5600702172684136,0.5837890395044074,-0.023718822235993864,-0.07986829120745259,12
ACT :: ERROR :: ACT,11,1,0.9783723176453922,0.7416109783715334,0.23676133927385878,0.607280845042217,13
INFORM :: REQUEST :: INFORM,11,1,0.8422276176293735,1.0331705928936432,-0.19094297526426973,-0.48975906171588274,14
REQUEST :: PLAN :: INFORM,10,1,0.7593751927798628,1.0331705928936432,-0.27379540011378045,-0.6803560104240993,15
VERIFY_FAIL :: INFORM :: ACT,7,4,1.2365755784512114,0.9000332501590982,0.33654232829211317,0.8362762695082083,16
ACT :: PLAN :: VERIFY_FAIL,7,4,1.1309008985815647,0.9000332501590982,0.23086764842246654,0.5736845547859053,17
PLAN :: VERIFY_FAIL :: INFORM,7,4,1.1309008985815647,0.9000332501590982,0.23086764842246654,0.5736845547859053,18
ERROR :: ACT :: INFORM,5,0,1.3799289039900233,,1.3799289039900233,2.472500680585616,19
VERIFY_FAIL :: ACT :: INFORM,5,0,1.1014897127306038,,1.1014897127306038,1.9736046230423494,20
INFORM :: VERIFY_FAIL :: ACT,5,1,1.1014897127306038,0.7457235602667003,0.35576615246390353,0.6922889667698698,21
INFORM :: ERROR :: ACT,5,1,1.1991303747483006,0.8768953276870599,0.32223504706124073,0.6270404484577848,22
REQUEST :: INFORM :: TERMINATE,5,4,0.7886390128528573,0.7820882114154647,0.006550801437392617,0.015083777736904209,23
ERROR :: INFORM :: ERROR,4,1,1.259135621091249,0.8768953276870599,0.3822402934041891,0.6848826652274658,24
ACT :: ERROR :: PLAN,3,3,0.7413681476093573,0.7464962166806249,-0.005128069071267616,-0.009978761650836308,25
ERROR :: PLAN :: ERROR,3,3,0.7413681476093573,0.7464962166806249,-0.005128069071267616,-0.009978761650836308,26
