pattern,label,e_f,e_p,n_f,n_p,ochiai,tarantula,dstar,jaccard,op2,rrf_score,rank_rrf,rank,higher_in_positives,fail_pass_rate_delta,fisher_tested,p_value,q_value,reject_bh,reject_bh_exploratory,evidence_level
ACT :: TERMINATE :: ACT,global,9.0,6.0,5.0,10.0,0.6210590034081188,0.6315789473684211,7.363636363636363,0.45,8.647058823529411,0.0811987704918033,1,1,True,0.2678571428571429,True,0.13615173837229994,0.24970847909378632,False,False,high_effect
ERROR :: PLAN :: ACT,global,7.0,4.0,7.0,12.0,0.5640760748177662,0.6666666666666666,4.454545454545454,0.3888888888888889,6.764705882352941,0.07987711213517665,2,2,True,0.25,True,0.1498250874562718,0.24970847909378632,False,False,high_effect
TERMINATE :: ACT :: PLAN,global,8.0,7.0,6.0,9.0,0.5520524474738834,0.5663716814159292,4.923076923076923,0.38095238095238093,7.588235294117647,0.07870997861510196,3,3,True,0.1339285714285714,True,0.3576245932761174,0.3576245932761174,False,False,tested_not_significant
PLAN :: ACT :: VERIFY_FAIL,global,5.0,1.0,9.0,15.0,0.545544725589981,0.851063829787234,2.5,0.3333333333333333,4.9411764705882355,0.07865305800756621,4,4,True,0.29464285714285715,True,0.059003831417624504,0.24970847909378632,False,False,high_effect
PLAN :: ACT :: ERROR,global,4.0,2.0,10.0,14.0,0.4364357804719848,0.6956521739130435,1.3333333333333333,0.25,3.8823529411764706,0.07641207870246852,5,5,True,0.1607142857142857,True,0.26130268199233714,0.32662835249042144,False,False,tested_not_significant
REQUEST :: PLAN :: ERROR,global,4.0,3.0,10.0,13.0,0.40406101782088427,0.6037735849056604,1.2307692307692308,0.23529411764705882,3.823529411764706,0.0734507065331764,8,6,True,0.0982142857142857,False,,,False,False,untested
TERMINATE :: PLAN :: TERMINATE,global,4.0,3.0,10.0,13.0,0.40406101782088427,0.6037735849056604,1.2307692307692308,0.23529411764705882,3.823529411764706,0.0734507065331764,8,7,True,0.0982142857142857,False,,,False,False,untested
REQUEST :: PLAN :: ACT,global,5.0,6.0,9.0,10.0,0.4029114820126901,0.4878048780487805,1.6666666666666667,0.25,4.647058823529412,0.07436059527074408,6,8,False,-0.01785714285714285,False,,,False,False,untested
INFORM :: PLAN :: ACT,global,6.0,11.0,8.0,5.0,0.38892223413129867,0.38399999999999995,1.894736842105263,0.24,5.352941176470588,0.07412637227911845,7,9,False,-0.25892857142857145,False,,,False,False,untested
PLAN :: TERMINATE :: ACT,global,3.0,2.0,11.0,14.0,0.35856858280031806,0.631578947368421,0.6923076923076923,0.1875,2.8823529411764706,0.07153261449036097,10,10,True,0.08928571428571427,False,,,False,False,untested
PLAN :: ACT :: INFORM,global,5.0,10.0,9.0,6.0,0.3450327796711771,0.36363636363636365,1.3157894736842106,0.20833333333333334,4.411764705882353,0.07142429560718365,11,11,False,-0.26785714285714285,False,,,False,False,untested
ACT :: ERROR :: PLAN,global,3.0,3.0,11.0,13.0,0.3273268353539886,0.5333333333333333,0.6428571428571429,0.17647058823529413,2.823529411764706,0.0689979191875212,12,12,True,0.026785714285714274,False,,,False,False,untested
PLAN :: TERMINATE :: PLAN,global,3.0,3.0,11.0,13.0,0.3273268353539886,0.5333333333333333,0.6428571428571429,0.17647058823529413,2.823529411764706,0.0689979191875212,12,13,True,0.026785714285714274,False,,,False,False,untested
ACT :: INFORM :: PLAN,global,4.0,8.0,10.0,8.0,0.3086066999241838,0.36363636363636365,0.8888888888888888,0.18181818181818182,3.5294117647058822,0.06899423527885576,14,14,False,-0.2142857142857143,False,,,False,False,untested
ACT :: PLAN :: TERMINATE,global,3.0,4.0,11.0,12.0,0.30304576336566325,0.4615384615384615,0.6,0.16666666666666666,2.764705882352941,0.06722222222222222,15,15,False,-0.035714285714285726,False,,,False,False,untested
INFORM :: ACT :: PLAN,global,3.0,6.0,11.0,10.0,0.2672612419124244,0.3636363636363636,0.5294117647058824,0.15,2.6470588235294117,0.06578947368421052,16,16,False,-0.16071428571428573,False,,,False,False,untested
