pattern,label,e_f,e_p,n_f,n_p,ochiai,tarantula,dstar,jaccard,op2,rrf_score,rank_rrf,rank,higher_in_positives,fail_pass_rate_delta,fisher_tested,p_value,q_value,reject_bh,reject_bh_exploratory,evidence_level
REQUEST :: PLAN :: ACT :: INFORM,global,245.0,44.0,252.0,56.0,0.6464559969646051,0.5283816425120773,202.78716216216216,0.45286506469500926,244.56435643564356,0.0763264586638463,1,1,True,0.05295774647887325,False,,,False,False,untested
PLAN :: ACT :: INFORM :: TERMINATE,global,183.0,30.0,314.0,70.0,0.5624489283547409,0.5510388437217706,97.35174418604652,0.34724857685009486,182.7029702970297,0.07562724014336918,2,2,True,0.06820925553319923,False,,,False,False,untested
ACT :: INFORM :: TERMINATE :: INFORM,global,144.0,23.0,353.0,77.0,0.4998343078995658,0.5574697069412722,55.148936170212764,0.27692307692307694,143.77227722772278,0.07485569985569986,3,3,True,0.05973843058350101,False,,,False,False,untested
INFORM :: TERMINATE :: INFORM :: PLAN,global,143.0,23.0,354.0,77.0,0.4978560614509422,0.5557498736932105,54.241379310344826,0.275,142.77227722772278,0.07373595505617977,4,4,True,0.05772635814889335,False,,,False,False,untested
TERMINATE :: INFORM :: PLAN :: TERMINATE,global,143.0,28.0,354.0,72.0,0.4905234655598691,0.50680464984406,53.531413612565444,0.2723809523809524,142.72277227722773,0.07153846153846155,5,5,True,0.007726358148893331,False,,,False,False,untested
REQUEST :: PLAN :: ACT :: TERMINATE,global,70.0,13.0,427.0,87.0,0.34465199716748446,0.5200208008320333,11.136363636363637,0.13725490196078433,69.87128712871286,0.07102272727272727,6,6,True,0.010845070422535213,False,,,False,False,untested
PLAN :: ACT :: VERIFY_PASS :: PLAN,global,64.0,13.0,433.0,87.0,0.3271571506123489,0.4976284892310085,9.183856502242152,0.12549019607843137,63.87128712871287,0.06913545480146438,7,7,False,-0.0012273641851106576,False,,,False,False,untested
ACT :: VERIFY_PASS :: PLAN :: INFORM,global,61.0,12.0,436.0,88.0,0.32025079062011524,0.5056366047745359,8.305803571428571,0.11984282907662082,60.881188118811885,0.06872451951077461,8,8,True,0.002736418511066402,False,,,False,False,untested
VERIFY_PASS :: PLAN :: INFORM :: TERMINATE,global,60.0,12.0,437.0,88.0,0.31718073984777556,0.5015045135406219,8.017817371937639,0.11787819253438114,59.881188118811885,0.06763285024154589,9,9,True,0.0007243460764587567,False,,,False,False,untested
INFORM :: PLAN :: ACT :: VERIFY_PASS,global,57.0,11.0,440.0,89.0,0.3100574742745818,0.5104325244022566,7.203991130820399,0.11220472440944881,56.89108910891089,0.0673469387755102,10,10,True,0.004688128772635816,False,,,False,False,untested
INFORM :: PLAN :: ACT :: PLAN,global,52.0,12.0,445.0,88.0,0.2915648476105668,0.4657828735220351,5.916849015317287,0.10216110019646366,51.881188118811885,0.06518758569113799,14,11,False,-0.015372233400402405,False,,,False,False,untested
INFORM :: PLAN :: VERIFY_FAIL :: TERMINATE,global,37.0,0.0,460.0,100.0,0.2728491892611794,1.0,2.976086956521739,0.0744466800804829,37.0,0.06684318097361575,11,12,True,0.0744466800804829,False,,,False,False,untested
ACT :: TERMINATE :: INFORM :: PLAN,global,42.0,7.0,455.0,93.0,0.26913678240975397,0.5469462169553327,3.8181818181818183,0.08333333333333333,41.93069306930693,0.06635430779266396,12,13,True,0.014507042253521119,False,,,False,False,untested
INFORM :: PLAN :: ACT :: INFORM,global,40.0,5.0,457.0,95.0,0.2674702847616798,0.6168080185042405,3.463203463203463,0.0796812749003984,39.95049504950495,0.06541827541827543,13,14,True,0.030482897384305832,False,,,False,False,untested
PLAN :: ACT :: TERMINATE :: INFORM,global,42.0,8.0,455.0,92.0,0.2664318214721315,0.5136986301369862,3.8099352051835855,0.08316831683168317,41.92079207920792,0.06473850209480769,15,15,True,0.0045070422535211235,False,,,False,False,untested
TERMINATE :: INFORM :: PLAN :: VERIFY_FAIL,global,35.0,0.0,462.0,100.0,0.2653724462171376,1.0,2.6515151515151514,0.07042253521126761,35.0,0.06468768539706754,16,16,True,0.07042253521126761,False,,,False,False,untested
PLAN :: ACT :: INFORM :: PLAN,global,42.0,10.0,455.0,90.0,0.2612578955247053,0.4580152671755725,3.793548387096774,0.08284023668639054,41.9009900990099,0.06229948335211494,19,17,False,-0.01549295774647888,False,,,False,False,untested
TERMINATE :: INFORM :: PLAN :: ACT,global,36.0,3.0,461.0,97.0,0.25857825652989214,0.7071302298173247,2.793103448275862,0.072,35.97029702970297,0.06305936632369753,17,18,True,0.042434607645875255,False,,,False,False,untested
ACT :: INFORM :: TERMINATE :: VERIFY_PASS,global,39.0,7.0,458.0,93.0,0.25793334886623875,0.5285269006640465,3.270967741935484,0.07738095238095238,38.93069306930693,0.06300147727601887,18,19,True,0.008470824949698183,False,,,False,False,untested
INFORM :: TERMINATE :: VERIFY_PASS :: PLAN,global,37.0,5.0,460.0,95.0,0.2560936939303691,0.5982215036378334,2.944086021505376,0.07370517928286853,36.95049504950495,0.06223938942665674,20,20,True,0.024446680080482897,False,,,False,False,untested
ACT :: INFORM :: PLAN :: TERMINATE,global,38.0,8.0,459.0,92.0,0.2513196732542839,0.48868312757201643,3.0920770877944324,0.07524752475247524,37.92079207920792,0.06056597723264391,21,21,False,-0.003541247484909457,False,,,False,False,untested
PLAN :: ACT :: INFORM :: VERIFY_PASS,global,31.0,6.0,466.0,94.0,0.22860337478639353,0.5097007563301545,2.0360169491525424,0.061630218687872766,30.940594059405942,0.05888149790588815,24,22,True,0.0023742454728370235,False,,,False,False,untested
TERMINATE :: VERIFY_PASS :: PLAN :: TERMINATE,global,29.0,4.0,468.0,96.0,0.2264450510311852,0.5932896890343698,1.7817796610169492,0.05788423153692615,28.96039603960396,0.05939038546211424,22,23,True,0.01835010060362173,False,,,False,False,untested
ACT :: INFORM :: VERIFY_PASS :: PLAN,global,30.0,6.0,467.0,94.0,0.2242806520081283,0.5015045135406219,1.9027484143763214,0.05964214711729622,29.940594059405942,0.05771117596680718,26,24,True,0.00036217303822937835,False,,,False,False,untested
PLAN :: ACT :: PLAN :: INFORM,global,29.0,6.0,468.0,94.0,0.21988002686562833,0.4930295817749065,1.7742616033755274,0.05765407554671968,28.940594059405942,0.05640461792193513,30,25,False,-0.0016498993963782668,False,,,False,False,untested
ACT :: PLAN :: INFORM :: TERMINATE,global,28.0,6.0,469.0,94.0,0.21539736116770697,0.48426150121065376,1.6505263157894736,0.055666003976143144,27.940594059405942,0.05560253699788584,32,26,False,-0.003661971830985912,False,,,False,False,untested
INFORM :: VERIFY_PASS :: PLAN :: TERMINATE,global,27.0,5.0,470.0,95.0,0.21409699939724852,0.5207328833172613,1.5347368421052632,0.053784860557768925,26.95049504950495,0.056503327283726555,29,27,True,0.004325955734406438,False,,,False,False,untested
REQUEST :: PLAN :: INFORM :: TERMINATE,global,25.0,3.0,472.0,97.0,0.21192529610604524,0.6264094211976949,1.3157894736842106,0.05,24.97029702970297,0.057502738225629804,27,28,True,0.02030181086519115,False,,,False,False,untested
REQUEST :: PLAN :: ACT :: REQUEST,global,21.0,0.0,476.0,100.0,0.2055566129482595,1.0,0.9264705882352942,0.04225352112676056,21.0,0.05906204201270152,23,29,True,0.04225352112676056,False,,,False,False,untested
VERIFY_PASS :: PLAN :: VERIFY_FAIL :: TERMINATE,global,20.0,0.0,477.0,100.0,0.20060271357125986,1.0,0.8385744234800838,0.04024144869215292,20.0,0.05857089770133249,25,30,True,0.04024144869215292,False,,,False,False,untested
PLAN :: ACT :: PLAN :: TERMINATE,global,23.0,6.0,474.0,94.0,0.19158020899760772,0.43544112078758046,1.1020833333333333,0.04572564612326044,22.940594059405942,0.05331756581272273,37,31,False,-0.013722334004024145,False,,,False,False,untested
