pattern,fail_support,pass_support,mean_fail_surprise,mean_pass_surprise,surprise_delta,support_weighted_delta,rank
REQUEST :: PLAN :: ACT :: VERIFY_FAIL,98,3,1.128049794437001,1.0229486453012722,0.10510114913572877,0.4860899573976812,1
VERIFY_FAIL :: INFORM :: VERIFY_FAIL :: INFORM,94,3,1.125765683510897,1.0229486453012722,0.10281703820962473,0.471412776444359,2
PLAN :: ACT :: VERIFY_FAIL :: ACT,86,3,1.0860159557460478,1.0229486453012722,0.06306731044477565,0.2837908934211224,3
ACT :: VERIFY_FAIL :: ACT :: VERIFY_FAIL,69,1,1.130603452050202,1.1040616860957366,0.026541765954465335,0.11313905163523967,4
REQUEST :: PLAN :: ACT :: INFORM,68,53,0.63474378247497,0.2549054621805206,0.37983832029444936,1.824751284290666,5
PLAN :: ACT :: INFORM :: ACT,60,51,0.5442006351840212,0.2215072338542695,0.32269340132975166,1.522628449948808,6
ACT :: INFORM :: ACT :: INFORM,46,54,0.4122449215201403,0.26994991844709526,0.14229500307304505,0.6567085881264003,7
INFORM :: ACT :: INFORM :: TERMINATE,37,51,0.2882887101060212,0.2215072338542695,0.06678147625175171,0.2997577631280159,8
VERIFY_FAIL :: ACT :: VERIFY_FAIL :: ACT,29,1,1.167188632513084,1.1040616860957366,0.0631269464173474,0.21677712625539042,9
INFORM :: ACT :: INFORM :: ACT,15,22,0.6233550632450943,0.3652334256804869,0.2581216375646074,0.9389396963309261,10
