pattern,label,e_f,e_p,n_f,n_p,ochiai,tarantula,dstar,jaccard,op2,rrf_score,rank_rrf,rank,higher_in_positives,fail_pass_rate_delta,fisher_tested,p_value,q_value,reject_bh,evidence_level
REQUEST :: PLAN :: ACT :: VERIFY_FAIL,global,98.0,3.0,74.0,55.0,0.7435345697804973,0.9167741935483871,124.72727272727273,0.56,97.94915254237289,0.08170280274986781,1,1,True,0.5180433039294307,True,1.328936393778092e-13,6.64468196889046e-13,True,bh_significant
VERIFY_FAIL :: INFORM :: VERIFY_FAIL :: INFORM,global,94.0,3.0,78.0,55.0,0.7277425413051772,0.9135388739946381,109.08641975308642,0.5371428571428571,93.94915254237289,0.08038914490527393,2,2,True,0.49478748997594224,True,1.0309208415471739e-12,2.577302103867935e-12,True,bh_significant
PLAN :: ACT :: VERIFY_FAIL :: ACT,global,86.0,3.0,86.0,55.0,0.6950870934032154,0.90625,83.10112359550561,0.49142857142857144,85.94915254237289,0.07887667887667887,4,3,True,0.4482758620689655,True,4.780187590072318e-11,7.966979316787197e-11,True,bh_significant
ACT :: VERIFY_FAIL :: ACT :: VERIFY_FAIL,global,69.0,1.0,103.0,57.0,0.6288337567972219,0.958792525155726,45.77884615384615,0.3988439306358382,68.98305084745763,0.07889344262295082,3,4,True,0.3839214113873296,True,5.452857234977676e-10,6.816071543722095e-10,True,bh_significant
REQUEST :: PLAN :: ACT :: INFORM,global,68.0,53.0,104.0,5.0,0.4713592173916872,0.3019908116385911,29.452229299363058,0.3022222222222222,67.10169491525424,0.0766899766899767,5,5,False,-0.5184442662389737,False,,,False,untested
PLAN :: ACT :: INFORM :: ACT,global,60.0,51.0,112.0,7.0,0.4342357121160496,0.2840352595494613,22.085889570552148,0.26905829596412556,59.13559322033898,0.07553143374038897,6,6,False,-0.5304731355252605,False,,,False,untested
VERIFY_FAIL :: ACT :: VERIFY_FAIL :: ACT,global,29.0,1.0,143.0,57.0,0.4037133836325358,0.90722761596548,5.840277777777778,0.1676300578034682,28.983050847457626,0.07424176273364634,7,7,True,0.15136327185244586,True,0.0010600085725478152,0.0010600085725478152,True,bh_significant
ACT :: INFORM :: ACT :: INFORM,global,46.0,54.0,126.0,4.0,0.3507467117649907,0.2231515557042489,11.755555555555556,0.20353982300884957,45.08474576271186,0.07418788410886742,8,8,False,-0.6635926222935045,False,,,False,untested
INFORM :: ACT :: INFORM :: TERMINATE,global,37.0,51.0,135.0,7.0,0.3007434410525892,0.19655614581425168,7.360215053763441,0.16591928251121077,36.13559322033898,0.07289002557544758,9,9,False,-0.6641940657578187,False,,,False,untested
INFORM :: ACT :: INFORM :: ACT,global,15.0,22.0,157.0,36.0,0.18802957896146258,0.1869359690588741,1.2569832402234637,0.07731958762886598,14.627118644067796,0.07142857142857142,10,10,False,-0.2921010425020048,False,,,False,untested
