pattern,label,e_f,e_p,n_f,n_p,ochiai,tarantula,dstar,jaccard,op2,rrf_score,rank_rrf,rank,higher_in_positives,fail_pass_rate_delta,fisher_tested,p_value,q_value,reject_bh,reject_bh_exploratory,evidence_level
PLAN :: REQUEST :: PLAN :: ACT :: VERIFY_FAIL,global,98.0,3.0,74.0,55.0,0.7435345697804973,0.9167741935483871,124.72727272727273,0.56,97.94915254237289,0.07890710382513662,1,1,True,0.5180433039294307,True,1.328936393778092e-13,9.302554756446644e-13,True,True,bh_significant
REQUEST :: PLAN :: ACT :: VERIFY_FAIL :: ACT,global,86.0,3.0,86.0,55.0,0.6950870934032154,0.90625,83.10112359550561,0.49142857142857144,85.94915254237289,0.07767402376910017,2,2,True,0.4482758620689655,True,4.780187590072318e-11,1.6730656565253114e-10,True,True,bh_significant
PLAN :: ACT :: VERIFY_FAIL :: ACT :: VERIFY_FAIL,global,60.0,1.0,112.0,57.0,0.5857632341884198,0.9529025191675795,31.858407079646017,0.3468208092485549,59.983050847457626,0.07675756113256113,3,3,True,0.3315958299919808,True,2.171156815506299e-08,5.066032569514698e-08,True,True,bh_significant
PLAN :: REQUEST :: PLAN :: ACT :: INFORM,global,68.0,53.0,104.0,5.0,0.4713592173916872,0.3019908116385911,29.452229299363058,0.3022222222222222,67.10169491525424,0.07411165223665224,4,4,False,-0.5184442662389737,False,,,False,False,untested
REQUEST :: PLAN :: ACT :: INFORM :: ACT,global,60.0,51.0,112.0,7.0,0.4342357121160496,0.2840352595494613,22.085889570552148,0.26905829596412556,59.13559322033898,0.07277441659464132,5,5,False,-0.5304731355252605,False,,,False,False,untested
ACT :: VERIFY_FAIL :: ACT :: VERIFY_FAIL :: ACT,global,28.0,1.0,144.0,57.0,0.3964558302520193,0.9042316258351892,5.406896551724138,0.16184971098265896,27.983050847457626,0.07247566597873885,6,6,True,0.14554931836407378,True,0.0014348067001089225,0.0025109117251906144,True,True,bh_significant
PLAN :: ACT :: VERIFY_FAIL :: ACT :: INFORM,global,26.0,2.0,146.0,56.0,0.37465377150775275,0.814254859611231,4.5675675675675675,0.14942528735632185,25.966101694915253,0.07074931301623925,9,7,True,0.11668003207698475,True,0.011305968518685412,0.011305968518685412,True,True,bh_significant
VERIFY_FAIL :: ACT :: VERIFY_FAIL :: ACT :: VERIFY_FAIL,global,22.0,1.0,150.0,57.0,0.34977965041189135,0.8812154696132596,3.205298013245033,0.12716763005780346,21.983050847457626,0.07038353803059685,10,8,True,0.11066559743384122,True,0.008283580361310612,0.009664177088195714,True,True,bh_significant
PLAN :: ACT :: INFORM :: ACT :: INFORM,global,42.0,51.0,130.0,7.0,0.33208066699575883,0.21734475374732332,9.74585635359116,0.18834080717488788,41.13559322033898,0.07105841018884497,8,9,False,-0.6351242983159583,False,,,False,False,untested
PLAN :: ACT :: INFORM :: ACT :: VERIFY_FAIL,global,18.0,0.0,154.0,58.0,0.3234983196103152,1.0,2.103896103896104,0.10465116279069768,18.0,0.07146460854680321,7,10,True,0.10465116279069768,True,0.004215011210246353,0.005901015694344894,True,True,bh_significant
INFORM :: ACT :: VERIFY_FAIL :: ACT :: VERIFY_FAIL,global,16.0,0.0,156.0,58.0,0.30499714066520933,1.0,1.641025641025641,0.09302325581395349,16.0,0.07029069746516993,11,11,True,0.09302325581395349,False,,,False,False,untested
REQUEST :: PLAN :: ACT :: INFORM :: VERIFY_FAIL,global,16.0,0.0,156.0,58.0,0.30499714066520933,1.0,1.641025641025641,0.09302325581395349,16.0,0.07029069746516993,11,12,True,0.09302325581395349,False,,,False,False,untested
ACT :: INFORM :: ACT :: VERIFY_FAIL :: ACT,global,16.0,1.0,156.0,57.0,0.29589068858212364,0.8436363636363636,1.6305732484076434,0.09248554913294797,15.983050847457626,0.06689739852562811,15,13,True,0.07578187650360865,False,,,False,False,untested
ACT :: INFORM :: ACT :: INFORM :: TERMINATE,global,36.0,51.0,136.0,7.0,0.29429213183717134,0.19226519337016576,6.93048128342246,0.16143497757847533,35.13559322033898,0.0690591531241224,13,14,False,-0.6700080192461908,False,,,False,False,untested
