pattern,label,e_f,e_p,n_f,n_p,ochiai,tarantula,dstar,jaccard,op2,rrf_score,rank_rrf,rank,higher_in_positives,fail_pass_rate_delta,fisher_tested,p_value,q_value,reject_bh,reject_bh_exploratory,evidence_level
VERIFY_FAIL :: ACT :: VERIFY_FAIL,global,44.0,7.0,27.0,108.0,0.7312037568257795,0.910563253554076,56.94117647058823,0.5641025641025641,43.939655172413794,0.07901727663528413,1,1,True,0.5588487446417636,True,7.284826647034033e-17,1.2384205299957857e-15,True,True,bh_significant
PLAN :: ACT :: VERIFY_FAIL,global,52.0,20.0,19.0,95.0,0.7272905105237972,0.8081081081081081,69.33333333333333,0.5714285714285714,51.827586206896555,0.07829637311392997,2,2,True,0.5584813227189223,True,2.2129091102370116e-14,1.8809727437014598e-13,True,True,bh_significant
VERIFY_FAIL :: ACT :: ERROR,global,35.0,4.0,36.0,111.0,0.6651300456371259,0.9340914365281967,30.625,0.4666666666666667,34.96551724137931,0.07790716228216228,3,3,True,0.45817513778322105,True,7.285671971334987e-14,4.1285474504231594e-13,True,True,bh_significant
ACT :: VERIFY_FAIL :: ACT,global,46.0,31.0,25.0,84.0,0.622133080737684,0.7061807502336137,37.785714285714285,0.45098039215686275,45.73275862068966,0.07530024090216472,5,4,True,0.37832210655235765,True,3.607877927167419e-07,8.52686347792382e-07,True,True,bh_significant
VERIFY_FAIL :: ACT :: PLAN,global,28.0,3.0,43.0,112.0,0.5968263788472825,0.937955141275852,17.043478260869566,0.3783783783783784,27.974137931034484,0.0762516282736871,4,5,True,0.3682792406613594,True,6.090977921528355e-11,2.5886656166495507e-10,True,True,bh_significant
ERROR :: ACT :: VERIFY_FAIL,global,23.0,3.0,48.0,112.0,0.5353181737330869,0.9254723582925122,10.372549019607844,0.3108108108108108,22.974137931034484,0.07376827788516149,6,6,True,0.29785670545009185,True,1.7115578439240827e-08,5.819296669341881e-08,True,True,bh_significant
ACT :: PLAN :: ACT,global,40.0,39.0,31.0,76.0,0.5340934738699313,0.6242366671190122,22.857142857142858,0.36363636363636365,39.66379310344828,0.07271441064720308,7,7,True,0.2242498469075322,True,0.002172118330146412,0.0030771676343740837,True,True,bh_significant
ACT :: VERIFY_FAIL :: TERMINATE,global,22.0,4.0,49.0,111.0,0.5120434705273005,0.8990760483297796,9.132075471698114,0.29333333333333333,21.96551724137931,0.07156316799583402,8,8,True,0.27507654623392525,True,2.3036120569946616e-07,6.52690082815154e-07,True,True,bh_significant
VERIFY_FAIL :: TERMINATE :: PLAN,global,20.0,3.0,51.0,112.0,0.49492216414394985,0.9152407481098288,7.407407407407407,0.2702702702702703,19.974137931034484,0.07106092079616089,9,9,True,0.2556031843233313,True,4.012641636670033e-07,8.52686347792382e-07,True,True,bh_significant
PLAN :: ACT :: PLAN,global,31.0,28.0,40.0,87.0,0.4789680161220497,0.6419953178462092,14.132352941176471,0.31313131313131315,30.75862068965517,0.07060704878966512,10,10,True,0.1931414574402939,True,0.00504365846418081,0.005716146259404918,True,True,bh_significant
ACT :: ERROR :: ACT,global,39.0,69.0,32.0,46.0,0.4453726613878956,0.47794117647058826,15.05940594059406,0.2785714285714286,38.4051724137931,0.06909687651357821,11,11,False,-0.05070422535211261,False,,,False,False,untested
ACT :: ERROR :: TERMINATE,global,22.0,16.0,49.0,99.0,0.42354709576108546,0.6901254773595199,7.446153846153846,0.25287356321839083,21.862068965517242,0.06785155376704673,12,12,True,0.17072872014696874,True,0.004793841566308777,0.005716146259404918,True,True,bh_significant
ACT :: PLAN :: INFORM,global,17.0,9.0,54.0,106.0,0.39566995449836856,0.7536622976098689,4.587301587301587,0.2125,16.92241379310345,0.06672689637242948,14,13,True,0.16117575015309243,True,0.0023741670348550008,0.00310467996865654,True,True,bh_significant
ERROR :: TERMINATE :: VERIFY_FAIL,global,10.0,0.0,61.0,115.0,0.37529331252040077,1.0,1.639344262295082,0.14084507042253522,10.0,0.06714254577157802,13,14,True,0.14084507042253522,True,4.324504436929463e-05,8.168508380866764e-05,True,True,bh_significant
ERROR :: ACT :: ERROR,global,19.0,19.0,52.0,96.0,0.36579067361184653,0.6182795698924731,5.084507042253521,0.2111111111111111,18.836206896551722,0.0656077434844558,15,15,True,0.10238824249846906,True,0.06843210701738128,0.06843210701738128,False,True,exploratory_bh
PLAN :: INFORM :: VERIFY_FAIL,global,11.0,2.0,60.0,113.0,0.3620694102721483,0.8990760483297796,1.9516129032258065,0.1506849315068493,10.982758620689655,0.06492568172942176,16,16,True,0.13753827311696262,True,0.000549237723894784,0.0009337041306211328,True,True,bh_significant
PLAN :: ACT :: ERROR,global,18.0,23.0,53.0,92.0,0.33361948098095745,0.5590062111801242,4.2631578947368425,0.19148936170212766,17.801724137931036,0.06403675838458447,17,17,True,0.053521126760563364,False,,,False,False,untested
PLAN :: INFORM :: PLAN,global,18.0,26.0,53.0,89.0,0.3220453201340309,0.5286006128702757,4.10126582278481,0.18556701030927836,17.775862068965516,0.06322232379957338,21,18,True,0.027434170238824246,False,,,False,False,untested
PLAN :: ACT :: INFORM,global,10.0,4.0,61.0,111.0,0.3171807398477756,0.8019525801952581,1.5384615384615385,0.13333333333333333,9.96551724137931,0.06251577770565112,22,19,True,0.10606246172688305,True,0.00950155879190983,0.010095406216404194,True,True,bh_significant
ACT :: PLAN :: VERIFY_FAIL,global,8.0,1.0,63.0,114.0,0.3164751088516942,0.9283551967709384,1.0,0.1111111111111111,7.991379310344827,0.06379959177858091,18,20,True,0.10398040416411512,True,0.0021516900647708488,0.0030771676343740837,True,True,bh_significant
ACT :: INFORM :: VERIFY_FAIL,global,7.0,0.0,64.0,115.0,0.3139929128113796,1.0,0.765625,0.09859154929577464,7.0,0.06362510330049556,19,21,True,0.09859154929577464,False,,,False,False,untested
REQUEST :: PLAN :: VERIFY_FAIL,global,7.0,0.0,64.0,115.0,0.3139929128113796,1.0,0.765625,0.09859154929577464,7.0,0.06362510330049556,19,22,True,0.09859154929577464,False,,,False,False,untested
INFORM :: PLAN :: ACT,global,16.0,24.0,55.0,91.0,0.3002346500163206,0.5191873589164786,3.240506329113924,0.16842105263157894,15.793103448275861,0.06148102943796356,23,23,True,0.01665646050214331,False,,,False,False,untested
ACT :: PLAN :: TERMINATE,global,7.0,2.0,64.0,113.0,0.2769157202452324,0.8500527983104541,0.7424242424242424,0.0958904109589041,6.982758620689655,0.05967906936547463,25,24,True,0.08120024494794856,False,,,False,False,untested
