pattern,label,e_f,e_p,n_f,n_p,ochiai,tarantula,dstar,jaccard,op2,rrf_score,rank_rrf,rank,higher_in_positives,fail_pass_rate_delta,fisher_tested,p_value,q_value,reject_bh,reject_bh_exploratory,evidence_level,mast_codes_primary,mast_codes_secondary,notes
REQUEST :: PLAN :: ACT :: VERIFY_FAIL,global,46.0,2.0,25.0,113.0,0.7879670163016614,0.9738586156111929,78.37037037037037,0.6301369863013698,45.98275862068966,0.0800665241149917,1,1,True,0.6304960195958359,True,7.3836841001761e-23,1.47673682003522e-21,True,True,bh_significant,,,
ACT :: VERIFY_FAIL :: ACT :: VERIFY_FAIL,global,43.0,4.0,28.0,111.0,0.7443725548739056,0.9456875119525722,57.78125,0.5733333333333334,42.96551724137931,0.07724712563422241,2,2,True,0.5708511941212492,True,1.0591401013705377e-18,1.0591401013705378e-17,True,True,bh_significant,,,
VERIFY_FAIL :: ACT :: VERIFY_FAIL :: ACT,global,43.0,6.0,28.0,109.0,0.7290230186047956,0.9206851610500837,54.38235294117647,0.5584415584415584,42.94827586206897,0.0755897266313933,3,3,True,0.5534598897734231,True,5.350529574712631e-17,3.5670197164750873e-16,True,True,bh_significant,,,
ACT :: VERIFY_FAIL :: ACT :: ERROR,global,35.0,3.0,36.0,112.0,0.6738249250744541,0.9497404436054744,31.41025641025641,0.47297297297297297,34.974137931034484,0.07511217948717949,4,4,True,0.4668707899571341,True,9.782597935090016e-15,4.891298967545008e-14,True,True,bh_significant,,,
PLAN :: ACT :: VERIFY_FAIL :: ACT,global,44.0,19.0,27.0,96.0,0.6578899125571763,0.7895147448899984,42.08695652173913,0.4888888888888889,43.83620689655172,0.07412728400631627,7,5,True,0.45450091855480707,True,2.5304645698792723e-10,7.229898771083635e-10,True,True,bh_significant,,,
VERIFY_FAIL :: ACT :: ERROR :: ACT,global,32.0,2.0,39.0,113.0,0.6513004008106444,0.9628466771323914,24.975609756097562,0.4383561643835616,31.982758620689655,0.07430469074304691,6,6,True,0.4333129210042866,True,5.3540323710435677e-14,2.1416129484174273e-13,True,True,bh_significant,,,
ACT :: VERIFY_FAIL :: ACT :: PLAN,global,27.0,1.0,44.0,114.0,0.6055577604219464,0.9776448362720402,16.2,0.375,26.99137931034483,0.0744073748902546,5,7,True,0.371586037966932,True,2.5239360559542435e-12,8.413120186514145e-12,True,True,bh_significant,,,
ACT :: ERROR :: ACT :: VERIFY_FAIL,global,22.0,1.0,49.0,114.0,0.5444143805583448,0.9727028066128411,9.68,0.3055555555555556,21.99137931034483,0.07257855774706216,8,8,True,0.3011635027556644,True,9.846136909601036e-10,2.1880304243557856e-09,True,True,bh_significant,,,
VERIFY_FAIL :: ACT :: PLAN :: ACT,global,22.0,1.0,49.0,114.0,0.5444143805583448,0.9727028066128411,9.68,0.3055555555555556,21.99137931034483,0.07257855774706216,8,9,True,0.3011635027556644,True,9.846136909601036e-10,2.1880304243557856e-09,True,True,bh_significant,,,
ERROR :: ACT :: VERIFY_FAIL :: ACT,global,22.0,2.0,49.0,113.0,0.5329517414226601,0.9468562874251497,9.490196078431373,0.3013698630136986,21.982758620689655,0.07030075187969924,10,10,True,0.29246785058175134,True,8.42171825093934e-09,1.684343650187868e-08,True,True,bh_significant,,,
ACT :: VERIFY_FAIL :: TERMINATE :: PLAN,global,18.0,1.0,53.0,114.0,0.4900794931055971,0.966837926202709,6.0,0.25,17.99137931034483,0.06984104015263576,11,11,True,0.24482547458665033,True,8.73094633625046e-08,1.5874447884091744e-07,True,True,bh_significant,,,
VERIFY_FAIL :: TERMINATE :: PLAN :: ACT,global,13.0,0.0,58.0,115.0,0.4279002121398116,1.0,2.913793103448276,0.18309859154929578,13.0,0.06797542735042734,12,12,True,0.18309859154929578,True,1.7424867295688689e-06,2.904144549281448e-06,True,True,bh_significant,,,
ACT :: PLAN :: ACT :: PLAN,global,17.0,6.0,54.0,109.0,0.4206838395223574,0.8210835783284334,4.816666666666666,0.22077922077922077,16.948275862068964,0.06605219427774381,14,13,True,0.18726270667483158,True,0.00023363294315973995,0.00029204117894967495,True,True,bh_significant,,,
ERROR :: ACT :: ERROR :: TERMINATE,global,15.0,3.0,56.0,112.0,0.4195906791483445,0.890092879256966,3.8135593220338984,0.20270270270270271,14.974137931034482,0.06501599477209234,15,14,True,0.1851806491120637,True,5.23203927546229e-05,7.474341822088986e-05,True,True,bh_significant,,,
REQUEST :: PLAN :: ACT :: PLAN,global,19.0,10.0,52.0,105.0,0.41872166058519694,0.7547495682210708,5.82258064516129,0.2345679012345679,18.913793103448278,0.06630672926447574,13,15,True,0.18064911206368645,True,0.0011405291721770503,0.0013417990260906473,True,True,bh_significant,,,
VERIFY_FAIL :: ACT :: VERIFY_FAIL :: TERMINATE,global,12.0,1.0,59.0,114.0,0.39498481120597995,0.9510682288077188,2.4,0.16666666666666666,11.991379310344827,0.06417531511080256,16,16,True,0.1603184323331292,True,4.589532843644104e-05,7.060819759452467e-05,True,True,bh_significant,,,
ACT :: PLAN :: ACT :: VERIFY_FAIL,global,16.0,10.0,55.0,105.0,0.37239525129258216,0.7215686274509805,3.9384615384615387,0.19753086419753085,15.913793103448276,0.0629281133200506,19,17,True,0.1383955909369259,True,0.008291895848529322,0.009213217609477025,True,True,bh_significant,,,
